engine,voice_id,label,character_distinctiveness_1_5,mandarin_naturalness_1_5,ranking_energy_1_5,long_listening_comfort_1_5,mixed_language_1_5,master_clone_consistency_1_5,keep_yes_no,notes
qwen3-tts,moe_spark,元气萌妹,,,,,,,,
qwen3-tts,soft_healer,治愈少女,,,,,,,,
qwen3-tts,tsundere_comic,傲娇吐槽姬,,,,,,,,
qwen3-tts,cool_senpai,清冷学姐,,,,,,,,
qwen3-tts,sleepy_cat,慵懒猫系,,,,,,,,
qwen3-tts,hotblood_youth,热血少年,,,,,,,,
qwen3-tts,mystic_rival,神秘宿敌,,,,,,,,
qwen3-tts,airy_spirit,空灵精灵,,,,,,,,
kokoro,zf_xiaobei,zf_xiaobei,,,,,,,n/a,
kokoro,zf_xiaoni,zf_xiaoni,,,,,,,n/a,
kokoro,zf_xiaoxiao,zf_xiaoxiao,,,,,,,n/a,
kokoro,zf_xiaoyi,zf_xiaoyi 当前默认女声,,,,,,,n/a,
kokoro,zm_yunjian,zm_yunjian,,,,,,,n/a,
kokoro,zm_yunxi,zm_yunxi 当前默认男声,,,,,,,n/a,
kokoro,zm_yunxia,zm_yunxia,,,,,,,n/a,
kokoro,zm_yunyang,zm_yunyang,,,,,,,n/a,
